highTemp,avgTemp,lowTemp,highDewPoint,avgDewPoint,lowDewPoint,highHumid,avgHumid,lowHumid,highSeaLvl,avgSeaLvl,lowSeaLvl,highVisibility,avgVisibility,lowVisibility,highWind,avgWind,sumPrecip
31,28,24,23,22,20,86,68,46,1014,1012,1011,11,11,10,14,6,0
31,27,23,22,21,19,76,61,48,1013,1011,1010,11,11,10,21,8,0
32,28,24,23,21,20,78,60,43,1013,1011,1010,11,11,10,11,8,0
32,28,25,23,21,21,71,59,46,1012,1011,1009,11,11,10,14,8,0
28,26,24,24,22,21,81,73,61,1011,1010,1009,11,11,10,11,8,1.02
32,28,24,22,21,20,71,61,47,1012,1010,1008,11,11,10,14,5,0
31,28,24,22,20,18,71,57,41,1012,1010,1007,11,11,10,14,6,0
29,26,22,22,20,19,73,63,57,1011,1009,1008,11,11,11,14,6,0
31,27,22,22,20,18,73,59,42,1011,1009,1008,11,11,11,11,5,0
28,26,24,23,22,21,94,76,61,1012,1010,1008,11,11,10,14,8,8.89
29,27,23,23,22,19,90,74,51,1012,1010,1009,11,10,10,11,5,2.03
28,26,23,24,23,22,86,77,66,1011,1009,1007,11,10,10,11,5,0.51
31,27,23,23,22,21,87,70,54,1010,1009,1007,11,11,6,6,2,0
30,27,24,24,23,22,74,71,66,1011,1009,1008,11,11,10,3,0,0
31,27,24,24,22,22,87,73,60,1012,1011,1009,11,10,10,14,3,1.02
29,27,24,22,20,18,72,59,54,1013,1012,1010,11,11,10,14,6,0
31,27,23,20,19,19,68,56,42,1015,1013,1012,11,11,10,18,5,0
32,28,23,21,19,17,68,53,33,1017,1015,1013,11,11,10,14,5,0
30,27,23,22,21,18,72,61,54,1016,1014,1011,11,11,10,14,5,0
29,27,23,21,20,18,72,60,48,1015,1014,1012,11,11,10,11,6,0
31,27,23,20,19,18,68,53,36,1016,1015,1013,11,11,11,11,3,0
30,27,23,23,22,19,95,67,57,1017,1015,1013,11,11,8,14,5,10.92
29,26,23,24,23,22,95,81,58,1017,1015,1013,11,10,10,11,8,4.06
29,26,22,23,22,21,92,78,52,1017,1016,1014,11,9,6,21,10,2.03
30,27,23,22,21,21,81,71,61,1017,1016,1014,11,10,8,14,10,0
29,27,24,23,21,21,79,70,55,1016,1014,1013,11,10,10,14,8,0
29,26,22,21,20,18,79,66,46,1015,1014,1012,11,10,10,14,8,0
30,27,23,23,22,21,82,72,51,1013,1012,1011,11,11,10,11,5,0.51
29,26,23,22,21,21,83,67,58,1012,1011,1010,11,11,11,18,10,0
31,28,24,25,23,21,89,71,60,1011,1010,1009,11,10,10,11,8,0
30,28,26,25,24,22,91,74,58,1011,1010,1008,11,11,10,11,8,0
30,27,24,25,24,23,90,81,73,1012,1011,1010,11,11,11,11,5,12.95
29,27,24,24,23,22,88,77,64,1013,1012,1011,11,11,10,14,6,0.25
29,27,24,22,22,22,81,73,63,1013,1012,1010,11,11,10,14,5,0
29,27,23,22,20,19,76,62,51,1013,1011,1009,11,11,10,14,3,0
30,27,23,23,21,20,73,63,49,1011,1009,1006,11,11,11,14,5,0
30,27,24,22,21,19,78,62,48,1010,1008,1007,11,11,11,14,5,0
31,27,23,21,20,18,68,57,46,1011,1010,1008,11,11,10,14,5,0
30,27,23,23,22,21,77,68,59,1012,1010,1009,11,11,10,11,3,0
30,27,24,22,21,20,81,64,54,1012,1010,1008,11,11,10,11,3,0
29,27,23,21,20,19,70,61,47,1014,1012,1011,11,11,11,11,3,0
28,26,23,19,19,18,65,59,49,1017,1015,1013,11,11,10,14,8,0
29,26,23,20,19,17,75,61,47,1019,1017,1015,11,11,10,14,6,0
27,25,23,20,18,18,72,65,56,1021,1019,1017,11,11,10,14,5,1.02
28,24,22,18,16,14,69,52,33,1021,1020,1019,11,11,11,18,6,0
28,24,21,18,17,16,65,52,39,1020,1018,1016,11,11,10,21,13,0
28,24,20,21,19,18,86,63,45,1018,1016,1014,11,11,10,18,5,0
27,24,22,22,21,19,77,71,65,1017,1016,1014,11,11,11,11,3,0
28,26,23,24,23,22,90,79,67,1016,1015,1013,11,11,6,11,5,10.92
29,26,23,24,23,23,86,80,68,1015,1014,1012,11,10,8,11,5,1.02
33,28,23,23,23,22,90,74,54,1015,1013,1011,11,11,10,18,5,0
